modelID,type,accountID,isMain,isSAR,scheduleID
1,single,496,True,False,2
1,single,1248,False,False,2
2,fan_out,66,False,False,2
2,fan_out,35,False,False,2
2,fan_out,5,False,False,2
2,fan_out,715,False,False,2
2,fan_out,12,False,False,2
2,fan_out,13,False,False,2
2,fan_out,17,False,False,2
2,fan_out,114,False,False,2
2,fan_out,116,False,False,2
2,fan_out,125,True,False,2
2,fan_out,31,False,False,2
3,fan_in,325,True,False,2
3,fan_in,38,False,False,2
3,fan_in,1190,False,False,2
3,fan_in,43,False,False,2
3,fan_in,848,False,False,2
3,fan_in,17,False,False,2
3,fan_in,22,False,False,2
3,fan_in,822,False,False,2
3,fan_in,62,False,False,2
3,fan_in,860,False,False,2
3,fan_in,30,False,False,2
4,forward,35,False,False,2
4,forward,595,True,False,2
4,forward,1190,False,False,2
5,mutual,496,True,False,2
5,mutual,1248,False,False,2
6,periodical,496,True,False,2
6,periodical,1248,False,False,2
7,single,40,False,False,2
7,single,497,True,False,2
8,fan_out,37,False,False,2
8,fan_out,73,False,False,2
8,fan_out,110,False,False,2
8,fan_out,751,False,False,2
8,fan_out,50,False,False,2
8,fan_out,979,False,False,2
8,fan_out,116,False,False,2
8,fan_out,1333,False,False,2
8,fan_out,54,False,False,2
8,fan_out,24,False,False,2
8,fan_out,126,True,False,2
9,fan_in,101,False,False,2
9,fan_in,6,False,False,2
9,fan_in,326,True,False,2
9,fan_in,43,False,False,2
9,fan_in,302,False,False,2
9,fan_in,15,False,False,2
9,fan_in,176,False,False,2
9,fan_in,82,False,False,2
9,fan_in,52,False,False,2
9,fan_in,758,False,False,2
9,fan_in,30,False,False,2
10,forward,200,False,False,2
10,forward,596,True,False,2
10,forward,60,False,False,2
11,mutual,40,False,False,2
11,mutual,497,True,False,2
12,periodical,40,False,False,2
12,periodical,497,True,False,2
13,single,498,True,False,2
13,single,10,False,False,2
14,fan_out,64,False,False,2
14,fan_out,128,True,False,2
14,fan_out,37,False,False,2
14,fan_out,38,False,False,2
14,fan_out,72,False,False,2
14,fan_out,655,False,False,2
14,fan_out,17,False,False,2
14,fan_out,50,False,False,2
14,fan_out,25,False,False,2
14,fan_out,29,False,False,2
14,fan_out,95,False,False,2
15,fan_in,1312,False,False,2
15,fan_in,70,False,False,2
15,fan_in,327,True,False,2
15,fan_in,40,False,False,2
15,fan_in,75,False,False,2
15,fan_in,16,False,False,2
15,fan_in,52,False,False,2
15,fan_in,86,False,False,2
15,fan_in,120,False,False,2
15,fan_in,25,False,False,2
